measured_on
2022-08-15 16:55:00
2022-08-15 17:00:00
2022-08-15 17:05:00
2022-08-15 17:10:00
2022-08-15 17:15:00
2022-08-15 17:20:00
2022-08-15 17:25:00
2022-08-27 16:40:00
2022-08-27 16:45:00
2022-08-27 16:50:00
2022-08-27 16:55:00
2022-08-27 17:00:00
2022-08-27 17:05:00
2022-08-27 17:10:00
2022-08-27 17:15:00
2022-08-27 17:20:00
2022-08-27 17:25:00
2022-08-27 17:30:00
2022-08-27 17:35:00
2022-08-27 17:40:00
2022-08-27 17:45:00
2022-08-27 17:50:00
2022-08-27 17:55:00
2022-08-27 18:00:00
2022-08-27 18:05:00
2022-08-27 18:10:00
2022-08-27 18:15:00
2022-08-27 18:20:00
2022-08-27 18:25:00
2022-08-27 18:30:00
2022-08-27 18:35:00
2022-08-27 18:40:00
2022-08-27 18:45:00
2022-08-27 18:50:00
2022-08-27 18:55:00
2022-08-27 19:00:00
2022-08-27 19:05:00
2022-08-27 19:10:00
2022-08-27 19:15:00
2022-08-27 19:20:00
2022-08-27 19:25:00
2022-08-27 19:30:00
2022-08-27 19:35:00
2022-08-27 19:40:00
2022-08-27 19:45:00
2022-08-27 19:50:00
2022-08-27 19:55:00
2022-08-27 20:00:00
2022-08-27 20:05:00
2022-08-27 20:10:00
2022-08-27 20:15:00
2022-08-27 20:20:00
2022-08-27 20:25:00
2022-08-27 20:30:00
2022-08-27 20:35:00
2022-08-27 20:40:00
2022-08-27 20:45:00
2022-08-27 20:50:00
2022-08-27 20:55:00
2022-08-27 21:00:00
2022-08-27 21:05:00
2022-08-27 21:10:00
2022-08-27 21:15:00
2022-08-27 21:20:00
2022-08-27 21:25:00
2022-08-27 21:30:00
2022-08-27 21:35:00
2022-08-27 21:40:00
2022-08-27 21:45:00
2022-08-27 21:50:00
2022-08-27 21:55:00
2022-08-27 22:00:00
2022-08-27 22:05:00
2022-08-27 22:10:00
2022-08-27 22:15:00
2022-08-27 22:20:00
2022-08-27 22:25:00
2022-09-01 15:55:00
2022-09-01 16:00:00
2022-09-01 16:05:00
2022-09-01 16:10:00
2022-09-01 16:15:00
2022-09-01 16:20:00
2022-09-01 16:25:00
2022-09-01 16:30:00
2022-09-01 16:35:00
2022-09-01 16:40:00
2022-09-01 16:45:00
2022-09-01 16:50:00
2022-09-01 16:55:00
2022-09-01 17:00:00
2022-09-01 17:05:00
2022-09-01 17:10:00
2022-09-01 17:15:00
2022-09-01 17:20:00
2022-09-01 17:25:00
2022-09-01 17:30:00
2022-09-01 17:35:00
2022-09-01 17:40:00
2022-09-01 17:45:00
2022-09-01 17:50:00
2022-09-01 17:55:00
2022-09-01 18:00:00
2022-09-01 18:05:00
2022-09-01 18:10:00
2022-09-01 18:15:00
2022-09-01 18:20:00
2022-09-01 18:25:00
2022-09-01 18:30:00
2022-09-01 18:35:00
2022-09-01 18:40:00
2022-09-01 18:45:00
2022-09-01 18:50:00
2022-09-01 18:55:00
2022-09-01 19:00:00
2022-09-01 19:05:00
2022-09-01 19:10:00
2022-09-01 19:15:00
2022-09-01 19:20:00
2022-09-01 19:25:00
2022-09-01 19:30:00
2022-09-01 19:35:00
2022-09-01 19:40:00
2022-09-01 19:45:00
2022-09-01 19:50:00
2022-09-01 19:55:00
2022-09-01 20:00:00
2022-09-01 20:05:00
2022-09-01 20:10:00
2022-09-01 20:15:00
2022-09-01 20:20:00
2022-09-01 20:25:00
2022-09-01 20:30:00
2022-09-01 20:35:00
2022-09-01 20:40:00
2022-09-01 20:45:00
2022-09-01 20:50:00
2022-09-01 20:55:00
2022-09-01 21:00:00
2022-09-01 21:05:00
2022-09-01 21:10:00
2022-09-01 21:15:00
2022-09-01 21:20:00
2022-09-01 21:25:00
2022-09-01 21:30:00
2022-09-01 21:35:00
2022-09-01 21:40:00
2022-09-01 21:45:00
2022-09-01 21:50:00
2022-09-01 21:55:00
2022-09-01 22:00:00
2022-09-01 22:05:00
2022-09-01 22:10:00
2022-09-01 22:15:00
2022-09-01 22:20:00
2022-09-01 22:25:00
2022-09-01 22:30:00
2022-09-01 22:35:00
2022-09-01 22:40:00
2022-09-01 22:45:00
2022-09-01 22:50:00
2022-09-01 22:55:00
2022-09-01 23:00:00
2022-09-01 23:05:00
2022-09-01 23:10:00
2022-09-01 23:15:00
2022-09-01 23:20:00
2022-09-01 23:25:00
2022-09-01 23:30:00
2022-09-01 23:35:00
2022-09-13 17:00:00
2022-09-13 17:05:00
2022-09-13 17:10:00
2022-09-13 17:15:00
2022-09-13 17:20:00
2022-09-13 17:25:00
